,start_time,finish_time,src_ip,dst_ip,total_bytes,total_common_protocols,total_src_ports,total_dst_ports,total_http_errors,total_failures,duration,cluster,x,y
8045,2017-07-07 17:10:52.323,2017-07-07 17:11:53.254,192.168.10.19,34.194.74.154,1590,0,2,1,0,0,60.930381999999994,0,-0.10562969795842357,-0.3393286330489128
12826,2017-07-07 18:37:56.738,2017-07-07 18:39:53.133,23.33.166.51,192.168.10.5,9956,0,1,3,0,0,116.394241,0,-0.10312426734465126,-0.3285196832967733
6932,2017-07-07 20:00:23.748,2017-07-07 20:02:19.744,192.168.10.17,104.97.122.160,1735,0,2,1,0,0,115.996113,0,-0.10332292401127142,-0.3178825148634151
8944,2017-07-07 18:27:28.135,2017-07-07 18:33:17.502,192.168.10.5,172.217.7.132,5081,0,2,1,0,0,349.366384,0,-0.09289833112812884,-0.22714269061609402
12105,2017-07-07 17:10:23.770,2017-07-07 17:10:25.915,209.85.144.109,192.168.10.19,4520,0,1,1,0,0,2.145159,0,-0.11619209330028266,-0.3708438760311808
884,2017-07-07 17:00:10.426,2017-07-07 19:16:08.558,13.59.43.55,192.168.10.50,203100,0,2500,997,0,0,8158.131789,1,25.85617208983623,22.975152303283373
2864,2017-07-07 17:34:57.076,2017-07-07 19:13:48.881,184.30.4.121,192.168.10.16,71013,0,1,8,0,0,5931.805805,2,0.16900658792697662,1.929143456658946
8725,2017-07-07 17:15:55.393,2017-07-07 19:02:35.112,192.168.10.5,104.97.73.123,1022,0,2,1,0,0,6399.718753,2,0.1558131370150538,2.1303456157638707
8913,2017-07-07 17:09:10.436,2017-07-07 18:33:20.496,192.168.10.5,172.217.12.162,21291,0,13,1,0,0,5050.06009,2,0.20208241579704153,1.6963670438108993
10846,2017-07-07 17:01:08.162,2017-07-07 20:01:21.990,192.168.10.9,192.168.10.3,199716,0,42,6,0,0,10813.82858,2,0.7560741891435454,4.172585443112015
2334,2017-07-07 17:20:33.889,2017-07-07 19:56:23.256,172.217.6.196,192.168.10.8,121038,0,2,8,0,0,9349.366752,2,0.33074359340158604,3.2663667541426924
361,2017-07-07 17:59:22.024,2017-07-07 17:59:22.090,104.31.90.107,192.168.10.25,14,0,1,2,0,2,0.06641699999999999,3,-0.24230761641476042,-10.781965743056405
9601,2017-07-07 17:00:04.644,2017-07-07 19:14:12.715,192.168.10.50,107.22.224.100,58670098,0,997,5000,0,0,8048.070801999999,4,40.59233054379052,3.245431436104636
9606,2017-07-07 17:00:28.782,2017-07-07 19:11:36.217,192.168.10.50,146.20.128.223,118649126,0,997,2500,0,0,7867.435012000001,4,45.99452422011509,2.255881924585122
9599,2017-07-07 19:00:40.102,2017-07-07 19:07:58.646,192.168.10.50,104.16.26.35,116712585,0,1,10000,0,0,438.543618,4,62.91690624082445,-16.040401662813093
11721,2017-07-07 18:29:18.669,2017-07-07 18:31:37.873,199.244.48.55,192.168.10.16,43091470,0,1,386,0,0,139.204156,4,11.477241789756778,-3.0394483098819647
9598,2017-07-07 18:56:46.743,2017-07-07 19:14:50.986,192.168.10.50,104.117.102.33,68929990,0,1,5904,0,0,1084.243543,4,37.13611639916483,-9.301702532749664
1197,2017-07-07 18:27:28.062,2017-07-07 18:27:28.730,151.101.116.193,192.168.10.8,6426,0,1,18,18,0,0.668675,5,-0.13088365830353105,-6.359764841028439
11884,2017-07-07 17:25:38.323,2017-07-07 17:25:54.504,204.154.111.115,192.168.10.8,27617,0,1,14,7,0,16.181028,5,-0.09343400556181237,-2.701439629230488
